time_s,theta_rad,omega_rad_s,u,pwm_command,next_theta_rad,next_omega_rad_s,reward
1.900000000000000133e+00,3.250546054914593697e-03,9.113322448683902621e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250544657930731773e-03,9.027213673107326031e-05,-1.066821224325851673e-04
1.910000000000000142e+00,3.250544657930731773e-03,9.027213673107326031e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541165471076965e-03,9.067099017556756735e-05,-1.066816861515901667e-04
1.919999999999999929e+00,3.250541165471076965e-03,9.067099017556756735e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541631132364273e-03,9.106480138143524528e-05,-1.066817510730899834e-04
1.929999999999999938e+00,3.250541631132364273e-03,9.106480138143524528e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546054914593697e-03,9.146655065705999732e-05,-1.066820759353542158e-04
1.939999999999999947e+00,3.250546054914593697e-03,9.146655065705999732e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250548150390386581e-03,9.061115270014852285e-05,-1.066823765466495664e-04
1.949999999999999956e+00,3.250548150390386581e-03,9.061115270014852285e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250548150390386581e-03,9.102687181439250708e-05,-1.066821682043680970e-04
1.959999999999999964e+00,3.250548150390386581e-03,9.102687181439250708e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250545822083950043e-03,9.017095726449042559e-05,-1.066821826185872642e-04
1.969999999999999973e+00,3.250545822083950043e-03,9.017095726449042559e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541398301720619e-03,9.057165880221873522e-05,-1.066816811695370530e-04
1.979999999999999982e+00,3.250541398301720619e-03,9.057165880221873522e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540699809789658e-03,9.096405119635164738e-05,-1.066816807688479276e-04
1.989999999999999991e+00,3.250540699809789658e-03,9.096405119635164738e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250537673011422157e-03,9.008275083033367991e-05,-1.066816438007703484e-04
2.000000000000000000e+00,3.250537673011422157e-03,9.008275083033367991e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250535344704985619e-03,9.109430538956075907e-05,-1.066812202727904495e-04
2.010000000000000231e+00,3.250535344704985619e-03,9.109430538956075907e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540001317858696e-03,9.147571108769625425e-05,-1.066816775751054566e-04
2.020000000000000018e+00,3.250540001317858696e-03,9.147571108769625425e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250542096793651581e-03,9.060027514351531863e-05,-1.066819758294189829e-04
2.030000000000000249e+00,3.250542096793651581e-03,9.060027514351531863e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541863963007927e-03,9.099559247260913253e-05,-1.066817519268420161e-04
2.040000000000000036e+00,3.250541863963007927e-03,9.099559247260913253e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250539069995284081e-03,9.011826477944850922e-05,-1.066817371216373600e-04
2.049999999999999822e+00,3.250539069995284081e-03,9.011826477944850922e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250537207350134850e-03,9.113496344070881605e-05,-1.066813388962856992e-04
2.060000000000000053e+00,3.250537207350134850e-03,9.113496344070881605e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250542096793651581e-03,9.152284474112093449e-05,-1.066818253874251594e-04
2.069999999999999840e+00,3.250542096793651581e-03,9.152284474112093449e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250544657930731773e-03,9.065544145414605737e-05,-1.066821576315222619e-04
2.080000000000000071e+00,3.250544657930731773e-03,9.065544145414605737e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545123592019081e-03,9.106061042984947562e-05,-1.066819737693488915e-04
2.089999999999999858e+00,3.250545123592019081e-03,9.106061042984947562e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250549547374248505e-03,9.147356468020007014e-05,-1.066823005596237315e-04
2.100000000000000089e+00,3.250549547374248505e-03,9.147356468020007014e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250551875680685043e-03,9.062961908057332039e-05,-1.066826104833942031e-04
2.109999999999999876e+00,3.250551875680685043e-03,9.062961908057332039e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250551875680685043e-03,9.105737990466877818e-05,-1.066824191765856331e-04
2.120000000000000107e+00,3.250551875680685043e-03,9.105737990466877818e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250550013035535812e-03,9.021452569868415594e-05,-1.066824588456724554e-04
2.129999999999999893e+00,3.250550013035535812e-03,9.021452569868415594e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546054914593697e-03,9.062971366802230477e-05,-1.066819917959348121e-04
2.140000000000000124e+00,3.250546054914593697e-03,9.062971366802230477e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546054914593697e-03,9.103849151870235801e-05,-1.066820360338394791e-04
2.149999999999999911e+00,3.250546054914593697e-03,9.103849151870235801e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543959438800812e-03,9.017603588290512562e-05,-1.066820552952739811e-04
2.160000000000000142e+00,3.250543959438800812e-03,9.017603588290512562e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250539302825927734e-03,9.057035640580579638e-05,-1.066815545084353614e-04
2.169999999999999929e+00,3.250539302825927734e-03,9.057035640580579638e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538837164640427e-03,9.095632412936538458e-05,-1.066815505926191495e-04
2.180000000000000160e+00,3.250538837164640427e-03,9.095632412936538458e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250535577535629272e-03,9.006835171021521091e-05,-1.066815058354037325e-04
2.189999999999999947e+00,3.250535577535629272e-03,9.006835171021521091e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250529756769537926e-03,9.043360478244721889e-05,-1.066809228169708033e-04
2.200000000000000178e+00,3.250529756769537926e-03,9.043360478244721889e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250527661293745041e-03,9.078600851353257895e-05,-1.066808158512661718e-04
2.209999999999999964e+00,3.250527661293745041e-03,9.078600851353257895e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250529058277606964e-03,9.113716805586591363e-05,-1.066809380084522311e-04
2.220000000000000195e+00,3.250529058277606964e-03,9.113716805586591363e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250527428463101387e-03,9.022033918881788850e-05,-1.066809989127733411e-04
2.229999999999999982e+00,3.250527428463101387e-03,9.022033918881788850e-05,3.189468383789062500e-02,1.275787353515625000e+00,3.250526497140526772e-03,9.120091272052377462e-05,-1.066806522633217253e-04
2.240000000000000213e+00,3.250526497140526772e-03,9.120091272052377462e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250532085075974464e-03,9.155484440270811319e-05,-1.066811676148342341e-04
2.250000000000000000e+00,3.250532085075974464e-03,9.155484440270811319e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541165471076965e-03,9.193285950459539890e-05,-1.066818019547647657e-04
2.260000000000000231e+00,3.250541165471076965e-03,9.193285950459539890e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250547917559742928e-03,9.106909419642761350e-05,-1.066824023927954144e-04
2.270000000000000018e+00,3.250547917559742928e-03,9.106909419642761350e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546054914593697e-03,9.021321602631360292e-05,-1.066822009169872095e-04
2.280000000000000249e+00,3.250546054914593697e-03,9.021321602631360292e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541863963007927e-03,9.061534365173429251e-05,-1.066817275966542357e-04
2.290000000000000036e+00,3.250541863963007927e-03,9.061534365173429251e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250541863963007927e-03,9.101059549720957875e-05,-1.066817568514150945e-04
2.300000000000000266e+00,3.250541863963007927e-03,9.101059549720957875e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545822083950043e-03,9.141199552686884999e-05,-1.066820462422326784e-04
2.310000000000000053e+00,3.250545822083950043e-03,9.141199552686884999e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250547219067811966e-03,9.055445843841880560e-05,-1.066823104792284605e-04
2.319999999999999840e+00,3.250547219067811966e-03,9.055445843841880560e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546520575881004e-03,9.096616122405976057e-05,-1.066820635197025520e-04
2.330000000000000071e+00,3.250546520575881004e-03,9.096616122405976057e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250543726608157158e-03,9.010423673316836357e-05,-1.066820359547185110e-04
2.339999999999999858e+00,3.250543726608157158e-03,9.010423673316836357e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538371503353119e-03,9.049673099070787430e-05,-1.066814876197014840e-04
2.350000000000000089e+00,3.250538371503353119e-03,9.049673099070787430e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536974519491196e-03,9.087844955502077937e-05,-1.066814339574336581e-04
2.359999999999999876e+00,3.250536974519491196e-03,9.087844955502077937e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250539535656571388e-03,9.126195800490677357e-05,-1.066816297937266545e-04
2.370000000000000107e+00,3.250539535656571388e-03,9.126195800490677357e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250539535656571388e-03,9.038158896146342158e-05,-1.066817869741212496e-04
2.379999999999999893e+00,3.250539535656571388e-03,9.038158896146342158e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250536974519491196e-03,9.076476999325677752e-05,-1.066814155192045380e-04
2.390000000000000124e+00,3.250536974519491196e-03,9.076476999325677752e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250538371503353119e-03,9.114600834436714649e-05,-1.066815363317638761e-04
2.399999999999999911e+00,3.250538371503353119e-03,9.114600834436714649e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250543493777513504e-03,9.153784776572138071e-05,-1.066819099957744710e-04
2.410000000000000142e+00,3.250543493777513504e-03,9.153784776572138071e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546287745237350e-03,9.067490464076399803e-05,-1.066822538494320002e-04
2.419999999999999929e+00,3.250546287745237350e-03,9.067490464076399803e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250546753406524658e-03,9.108516678679734468e-05,-1.066820847874540415e-04
2.430000000000000160e+00,3.250546753406524658e-03,9.108516678679734468e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250545123592019081e-03,9.022572339745238423e-05,-1.066821356556174285e-04
2.439999999999999947e+00,3.250545123592019081e-03,9.022572339745238423e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540932640433311e-03,9.062470053322613239e-05,-1.066816691797095736e-04
2.450000000000000178e+00,3.250540932640433311e-03,9.062470053322613239e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250540932640433311e-03,9.101710747927427292e-05,-1.066817033512331217e-04
2.459999999999999964e+00,3.250540932640433311e-03,9.101710747927427292e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250544890761375427e-03,9.141588088823482394e-05,-1.066819958937046650e-04
2.470000000000000195e+00,3.250544890761375427e-03,9.141588088823482394e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250546520575881004e-03,9.055584087036550045e-05,-1.066822616197436296e-04
2.479999999999999982e+00,3.250546520575881004e-03,9.055584087036550045e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250545822083950043e-03,9.096509165829047561e-05,-1.066820145426089039e-04
2.490000000000000213e+00,3.250545822083950043e-03,9.096509165829047561e-05,3.190040588378906250e-02,1.276016235351562500e+00,3.250542795285582542e-03,9.010067878989502788e-05,-1.066819852493265452e-04
2.500000000000000000e+00,3.250542795285582542e-03,9.010067878989502788e-05,3.189659118652343750e-02,1.275863647460937500e+00,3.250537673011422157e-03,9.049056825460866094e-05,-1.066814335127797415e-04
