test_id,initial_angle_deg,initial_omega_rad_s,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
47,-2.2504324193965104,-0.1010586015944687,500,5.0,0.1862419694662094,9.177638276014477e-05,2.2504324193965104,0.7718061804771423,2.9951133728027344,0.03189659118652344,0.18624226167798041,0.18624289333820343,-1.227293229658556,False,True,True,True
48,-4.233437921395118,0.012403441482922661,500,5.0,0.18624205887317657,9.110481187235564e-05,4.233437921395118,0.7847852110862732,2.8045825958251953,0.031894683837890625,0.18624228432774545,0.18624289333820343,-2.640790294666383,False,True,True,True
49,3.6499100794995094,-0.036653123816972,500,5.0,0.18624232709407806,9.146171214524657e-05,3.6499100794995094,0.30184754729270935,1.3893604278564453,0.03189659118652344,0.18624229729175568,0.18624284863471985,-1.1194989063104916,False,True,True,True
50,-7.204950327813804,-0.28703275207180173,500,5.0,0.1862422227859497,9.084142948267981e-05,7.204950327813804,0.7847943305969238,3.9458045959472656,0.03190040588378906,0.186242196559906,0.18624264001846313,-5.253307906454135,False,True,True,True
51,-6.001835950497833,0.1957751545166147,500,5.0,0.1862424910068512,9.074556146515533e-05,6.001835950497833,0.7802282571792603,2.384420394897461,0.03189659118652344,0.1862423051893711,0.18624277412891388,-4.009357326350371,False,True,True,True
52,-9.85275460497989,0.23769646310386,500,5.0,0.18624235689640045,9.127632074523717e-05,9.85275460497989,0.7787551283836365,2.5772838592529297,0.03189659118652344,0.1862422649562359,0.1862427294254303,-8.191402444890047,False,True,True,True
53,5.738487550042768,-0.21585054660083353,500,5.0,0.18624205887317657,9.107581718126312e-05,5.738487550042768,0.33812424540519714,1.3348274230957031,0.031894683837890625,0.1862422388792038,0.18624287843704224,-2.4209778098796724,False,True,True,True
54,3.2970171318406436,0.03242168612342966,500,5.0,0.18624243140220642,9.128206147579476e-05,3.2970171318406436,0.29557016491889954,1.5078125,0.03189659118652344,0.18624230474233627,0.18624278903007507,-0.9613189336811326,False,True,True,True
55,4.1033075725267025,-0.23485455531873387,500,5.0,0.18624261021614075,9.05678462004289e-05,4.1033075725267025,0.3094522953033447,0.9134922027587891,0.03190040588378906,0.18624223232269288,0.18624262511730194,-1.325080352857136,False,True,True,True
56,5.614580620439359,0.103344055823887,500,5.0,0.18624182045459747,9.116649744100869e-05,5.614580620439359,0.3372058868408203,2.2346878051757812,0.03189659118652344,0.18624233469367027,0.18624290823936462,-2.3992195542054,False,True,True,True
57,-0.8216844892332009,-0.131259729696595,500,5.0,0.18624193966388702,9.124866483034566e-05,0.8216844892332009,0.3892323076725006,1.70037841796875,0.031894683837890625,0.1862422841787338,0.18624275922775269,-0.2853204464413703,False,True,True,True
58,1.3748239190578744,0.09565358081514108,500,5.0,0.18624141812324524,9.04132830328308e-05,1.3748239190578744,0.25511056184768677,1.206064224243164,0.03189659118652344,0.1862422612309456,0.1862429529428482,-0.2848603588285202,False,True,True,True
59,-7.204060037446851,0.1361967685721296,500,5.0,0.18624244630336761,8.995934331323951e-05,7.204060037446851,0.7761671543121338,2.653932571411133,0.03190040588378906,0.18624236688017845,0.1862429976463318,-5.122791945143668,False,True,True,True
60,-7.709398529280531,0.1611884951505942,500,5.0,0.18624188005924225,9.08463989617303e-05,7.709398529280531,0.7837646007537842,2.6209259033203125,0.03189659118652344,0.18624227479100228,0.1862427443265915,-5.62734874924836,False,True,True,True
61,3.368059235809433,-0.23535543242646206,500,5.0,0.18624208867549896,9.099826274905354e-05,3.368059235809433,0.29630398750305176,0.74713134765625,0.03189659118652344,0.1862422113120556,0.1862426996231079,-0.9580243978308692,False,True,True,True
62,-0.5780758771373495,0.24960710708256478,500,5.0,0.18624216318130493,9.138037421507761e-05,0.5780758771373495,0.29667723178863525,0.22724342346191406,0.03189659118652344,0.1862422814965248,0.18624286353588104,-0.15953423151730636,False,True,True,True
63,1.3047221296237765,-0.1618716054630715,500,5.0,0.18624232709407806,9.020180004881695e-05,1.3047221296237765,0.25301575660705566,0.4732551574707031,0.03190040588378906,0.18624228447675706,0.18624287843704224,-0.24834623356074617,False,True,True,True
64,5.299977148320512,-0.27755246629429214,500,5.0,0.1862419992685318,9.023433085530996e-05,5.299977148320512,0.3318234086036682,1.0559730529785156,0.03190040588378906,0.18624224588274957,0.1862427443265915,-2.0739165553871195,False,True,True,True
65,2.694366400011816,0.032911481634889994,500,5.0,0.18624229729175568,9.12005634745583e-05,2.694366400011816,0.2843173146247864,1.3596057891845703,0.03189659118652344,0.18624229237437248,0.1862427294254303,-0.7081163262595069,False,True,True,True
66,1.071588013159916,-0.07744662968253674,500,5.0,0.1862422376871109,9.026921179611236e-05,1.071588013159916,0.24635963141918182,0.6495838165283203,0.03190040588378906,0.18624225452542306,0.1862426996231079,-0.19553076425525692,False,True,True,True
67,1.1841432149082713,0.1978738458794479,500,5.0,0.18624228239059448,9.144664363702759e-05,1.1841432149082713,0.24967749416828156,1.4424152374267578,0.03189659118652344,0.18624233573675156,0.18624286353588104,-0.242139771296043,False,True,True,True
68,-3.920998038747756,0.18495088323858105,500,5.0,0.1862419843673706,9.063860488822684e-05,3.920998038747756,0.7830871343612671,2.2552871704101562,0.03189659118652344,0.18624223336577417,0.18624292314052582,-2.3661775696805485,False,True,True,True
69,-9.383643308641211,-0.10971666430637078,500,5.0,0.1862420290708542,9.107257938012481e-05,9.383643308641211,0.7807807326316833,3.5676918029785156,0.031894683837890625,0.18624232426285744,0.1862429529428482,-7.69121653738326,False,True,True,True
70,-1.2656522153527519,0.27173963704184695,500,5.0,0.18624253571033478,9.066960774362087e-05,1.2656522153527519,0.5627868175506592,1.0719776153564453,0.03190040588378906,0.1862422178685665,0.1862427145242691,-0.46796615906034533,False,True,True,True
71,-5.708306543609416,-0.1254492971159288,500,5.0,0.1862419694662094,9.066150960279629e-05,5.708306543609416,0.7742978930473328,3.333944320678711,0.03189659118652344,0.186242246478796,0.18624284863471985,-3.841999841764423,False,True,True,True
72,-1.8294271255072765,0.009034277539028746,500,5.0,0.1862420290708542,9.178489563055336e-05,1.8294271255072765,0.7297773957252502,2.4636707305908203,0.03189659118652344,0.18624233856797218,0.186242938041687,-0.9009282605410904,False,True,True,True
73,7.068061465363321,-0.14642094565943833,500,5.0,0.18624164164066315,9.137691085925326e-05,7.068061465363321,0.3587615191936493,1.8325271606445312,0.031894683837890625,0.18624228328466416,0.1862429529428482,-3.6516786272964232,False,True,True,True
74,-5.321210282693185,0.261626142029378,500,5.0,0.18624258041381836,9.02813408174552e-05,5.321210282693185,0.7778639793395996,2.1305809020996094,0.03190040588378906,0.1862423275411129,0.18624281883239746,-3.4268847446722086,False,True,True,True
75,-8.83394516621868,-0.2012353094507891,500,5.0,0.18624238669872284,9.106045763473958e-05,8.83394516621868,0.7758880853652954,3.807851791381836,0.03189659118652344,0.1862423226237297,0.18624281883239746,-7.021076981048494,False,True,True,True
76,-4.372322159560069,-0.2730536283646026,500,5.0,0.18624205887317657,9.124050120590255e-05,4.372322159560069,0.7779220938682556,3.680593490600586,0.03189659118652344,0.18624226465821267,0.18624265491962433,-2.8124295363621767,False,True,True,True
77,-4.128124844666328,-0.038941763998177226,500,5.0,0.18624244630336761,9.161117486655712e-05,4.128124844666328,0.7747876048088074,2.951864242553711,0.03189659118652344,0.1862422774732113,0.1862427443265915,-2.570917562577944,False,True,True,True
78,3.238330294537901,0.2954253384335022,500,5.0,0.18624234199523926,9.034229879034683e-05,3.2460520267486572,0.2950187921524048,2.2211437225341797,0.03190040588378906,0.1862422962486744,0.18624281883239746,-0.9706578973663315,False,True,True,True
79,1.1406430468255664,0.2350063597529483,500,5.0,0.18624238669872284,9.084405610337853e-05,1.1458702087402344,0.2484661489725113,1.5346012115478516,0.03189659118652344,0.1862423150241375,0.18624284863471985,-0.23366709614226247,False,True,True,True
80,5.677964182128271,0.1491648116741695,500,5.0,0.1862424910068512,9.114590648096055e-05,5.677964182128271,0.338467001914978,2.3823776245117188,0.03189659118652344,0.1862422703206539,0.18624266982078552,-2.460930915207783,False,True,True,True
