test_id,initial_angle_deg,steps,duration_s,final_angle_deg,final_omega_rad_s,max_abs_angle_deg,max_abs_omega_rad_s,max_abs_action,final_action,mean_abs_angle_last_1s_deg,max_abs_angle_last_1s_deg,total_reward,terminated,truncated,completed_horizon,passed
68,-3.920998038747756,500,5.0,0.18624234199523926,9.064225741894916e-05,3.920998038747756,0.7815117835998535,2.8180484771728516,0.03190040588378906,0.18624228969216347,0.1862429529428482,-2.408119917898105,False,True,True,True
69,-9.383643308641211,500,5.0,0.1862422674894333,9.144952491624281e-05,9.383643308641211,0.781956136226654,3.228609085083008,0.03189659118652344,0.18624219074845313,0.18624292314052582,-7.648094034435609,False,True,True,True
70,-1.2656522153527519,500,5.0,0.1862425059080124,9.061975288204849e-05,1.2656522153527519,0.5611462593078613,1.8913021087646484,0.03189659118652344,0.18624219089746474,0.186242938041687,-0.5073297465378109,False,True,True,True
71,-5.708306543609416,500,5.0,0.18624232709407806,9.059273725142702e-05,5.708306543609416,0.7754775881767273,2.955789566040039,0.03190040588378906,0.18624227225780488,0.1862429529428482,-3.8094041265783023,False,True,True,True
72,-1.8294271255072765,500,5.0,0.18624205887317657,9.048397623701021e-05,1.8294271255072765,0.7301260232925415,2.4921131134033203,0.03189659118652344,0.186242233812809,0.1862426996231079,-0.9027498017017032,False,True,True,True
73,7.068061465363321,500,5.0,0.18624211847782135,9.116582077695057e-05,7.068061465363321,0.3594224452972412,2.2590999603271484,0.03189659118652344,0.18624213621020316,0.186242938041687,-3.698250036962929,False,True,True,True
74,-5.321210282693185,500,5.0,0.1862422078847885,9.010884969029576e-05,5.321210282693185,0.7755012512207031,2.9259719848632812,0.03190040588378906,0.18624215424060822,0.18624268472194672,-3.4903588236686707,False,True,True,True
75,-8.83394516621868,500,5.0,0.18624159693717957,9.039842552738264e-05,8.83394516621868,0.7779671549797058,3.184976577758789,0.03189659118652344,0.18624223604798318,0.18624278903007507,-6.948902410288243,False,True,True,True
76,-4.372322159560069,500,5.0,0.18624261021614075,9.115252032643184e-05,4.372322159560069,0.78030925989151,2.8528480529785156,0.03189659118652344,0.18624228090047837,0.18624283373355865,-2.7478494754412837,False,True,True,True
77,-4.128124844666328,500,5.0,0.18624253571033478,9.06056011444889e-05,4.128124844666328,0.7751232385635376,2.8340225219726562,0.03190040588378906,0.18624224364757538,0.186242938041687,-2.561787704489939,False,True,True,True
78,3.238330294537901,500,5.0,0.18624231219291687,9.076355490833521e-05,3.238330294537901,0.29440414905548096,1.4033203125,0.03189659118652344,0.18624230414628984,0.186242938041687,-0.9307876449139518,False,True,True,True
79,1.1406430468255664,500,5.0,0.18624238669872284,9.120468894252554e-05,1.1406430468255664,0.248370960354805,0.8821048736572266,0.03189659118652344,0.1862422586977482,0.18624280393123627,-0.21779379850426633,False,True,True,True
80,5.677964182128271,500,5.0,0.18624195456504822,9.074404806597158e-05,5.677964182128271,0.3379063606262207,1.949197769165039,0.03189659118652344,0.18624230474233627,0.18624292314052582,-2.424870186564656,False,True,True,True
81,3.2862708065477513,500,5.0,0.1862422376871109,9.050866356119514e-05,3.2862708065477513,0.2952994704246521,1.4152202606201172,0.03190040588378906,0.18624226585030557,0.1862429678440094,-0.952389575158055,False,True,True,True
